picid,episode,chinese_title,original_title,music,original_picurl,,comment
1,1,边缘世界的废墟,Ruins of Rimworld #1,,https://srgrafo.com/storage/comics/0QiNrFKNF9ivj6mRZPWWW0PxEKyWILNpug5XMZkV.jpeg,,
2,2,搜寻并摧毁,Seek and Destroy #2,,https://srgrafo.com/storage/comics/CpVT2sxICfvGUuFW97GxhHUV63qouJP8KBogymdR.jpeg,,
3,3,边缘世界的闲谈,Chitchat of Rimworld #3,,https://srgrafo.com/storage/comics/XbH589SAUvLFrAAAxQ6pLuO22y2ps7sPvGUGghdg.jpeg,,
4,4,边缘世界的伏击,Ambush of Rimworld #4,,https://srgrafo.com/storage/comics/VwFD8S6l4aE5uKV7Lu38Ks8y8qOheA8z7xVhqY3W.jpeg,,
5,5,边缘世界的虚脱,Exhaustion of Rimworld #5,,https://srgrafo.com/storage/comics/XUNpxG7Fck2LbvyVKXDdUi4HQt3RxDvfC53ZgOs0.jpeg,,
6,6,伤人的低语,Abrasive Whispers #6,,https://srgrafo.com/storage/comics/lANG62f6Fl62ySITC212X9Vh1qFbuiLpL0TotHzj.jpeg,,
7,7,寒冬,Heavy Winter #7,,https://srgrafo.com/storage/comics/id6cipowmqN2HuRBRce7hSk8rsybu0mrl1lDdi3T.jpeg,,
8,8,短暂的闪回,Little Flashbacks #8,,https://srgrafo.com/storage/comics/Zd7joYl7SZUSXdisZbFEQsiUElyNPggQm91sQ0oS.jpeg,,
9,9,重整思绪,Reloading Perspective #9,,https://srgrafo.com/storage/comics/4LHO4jZz1Pa0s4SCqXeXy3k9gC45HeqvqGdUFIgu.jpeg,,
10,10,边缘世界的安抚,Tending of Rimworld #10,,https://srgrafo.com/storage/comics/HJi899E1QZobm8FL7eW3uvim5NBKDeNpN3NoGg2y.jpeg,,注：本节中出现了漫画中两个重要人物，泰南（Tynan）和塔恩（Tarn）。Tynan 的名字取自《边缘世界》的开发者 Tynan Sylvester，而 Tarn 的名字取自另一个著名的独立游戏《矮人要塞》（Dwarf Fortress）的开发者之一 Tarn Adams。
11,11,边缘世界的感染,Infections of Rimworld #11,,https://srgrafo.com/storage/comics/Ck3FiTUGiek7fCkCuRAjsxqaYyBaIElfkfm2AdFA.jpeg,,
12,12,漂亮桌子,Fancy Tables #12,,https://srgrafo.com/storage/comics/hRoIH7kXEjCGqJbAEsRJ8yFpz4kT6md8VgcLBOWU.jpeg,,注：这一章的文本是一首虚构的闪耀世界的儿歌。原文其实写得很好，押韵又有深意，而且完美的呼应了剧情，但以我的水平实在是很难翻出原本的韵味，所以这次我直接另附上原文。
13,13,红毯,Red Carpet #13,,https://srgrafo.com/storage/comics/lEyJeuvQohE29i6ZEuzHDNJnflYmkJ0q5hAXAnyw.jpeg,,
14,14,嗷呜,Awoo #14,,https://srgrafo.com/storage/comics/eiHnPzuu5ZalpwACBqiAP5yCYyd7d7vJbJWPFxD4.jpeg,,
15,15,边缘世界的囚犯,Prisoners of Rimworld #15,,https://srgrafo.com/storage/comics/aVnhbaEUGscvHuPZrH7U7QNqTtq03sG52EI3NPEV.jpeg,,注：活摘囚犯器官盈利在《边缘世界》游戏中是一种比较常见的操作，由于操作本身极端不人道但是在游戏中却显得十分自然，而产生了一种滑稽的戏剧性，因此成为了玩家社区中常盛不衰的一个梗。
16,16,扫墓,Visiting Graves #16,,https://srgrafo.com/storage/comics/PCVCpVsLqYpgvKbvtORveYIETS38cFzu9T55q8mk.jpeg,,
17,17,边缘世界的药物,Medicine of Rimworld #17,,https://srgrafo.com/storage/comics/O2hCBI3kcAIui1VLzouK1oqNLhQCcovMVd3j3gOg.jpeg,,注：边缘世界中基本的药物有草药、普通药物、闪耀世界药物三种，越高级的药品的治愈概率和手术成功率就越高。
18,18,死神,The Head Collector #18,,https://srgrafo.com/storage/comics/gsjO6gEYSIZcCyk2XhRbHHRqIBKCP84YH18CkR4p.jpeg,,
19,19,回忆（圣诞特别篇）,Memories #19 (xmas special),,https://srgrafo.com/storage/comics/No9ICTd0Wnbc4dfs88haTc61Qz5cVwf4G4HJjtLe.jpeg,,注：最后一格中的短发男形象是作者自己。
